Date,Open,High,Low,Close,Volume
18-08-2008,11659.7,11690.4,11434.1,11479.4,156369074
19-08-2008,11478.1,11478.2,11318.5,11348.5,171565541
20-08-2008,11345.9,11454.2,11290.6,11417.4,144934418
21-08-2008,11415.2,11476.2,11315.6,11430.2,130067910
22-08-2008,11426.8,11632.1,11426.8,11628,138760136
25-08-2008,11626.2,11626.3,11363,11386.2,148520241
26-08-2008,11383.5,11436.2,11340.4,11412.9,119741223
27-08-2008,11412.5,11554.5,11381.8,11502.5,120591451
28-08-2008,11499.9,11715.2,11499.8,11715.2,149143889
29-08-2008,11713.2,11713.2,11543.4,11543.5,166969892
02-09-2008,11545.6,11790.2,11471.9,11516.9,176994659
03-09-2008,11506,11554.4,11416.5,11532.9,174204978
04-09-2008,11532.5,11532.5,11176,11188.2,229251605
05-09-2008,11185.6,11245.2,11037.8,11221,198391631
08-09-2008,11224.9,11570.7,11224.8,11510.7,272972365
09-09-2008,11514.7,11577.5,11230.7,11230.7,257345735
10-09-2008,11233.9,11380.6,11215.2,11268.9,214292030
11-09-2008,11264.4,11445.7,11098.7,11433.7,247894649
12-09-2008,11429.3,11459.9,11280.4,11422,238905635
15-09-2008,11416.4,11416.5,10917.5,10917.5,432999015
16-09-2008,10905.6,11093.2,10742.7,11059,494779480
17-09-2008,11056.6,11057.3,10595.9,10609.7,463202231
18-09-2008,10609,11076.4,10459.4,11019.7,488087433
19-09-2008,11027.5,11483,11026.7,11388.4,655081869
22-09-2008,11394.4,11394.6,10992.2,11015.7,213159686
23-09-2008,11015.7,11143.2,10833.9,10854.2,204502538
24-09-2008,10850,10928.4,10753.6,10825.2,183590473
25-09-2008,10827.2,11129.2,10827,11022.1,218601656
26-09-2008,11019,11168.1,10868.8,11143.1,232549426
29-09-2008,11139.6,11139.9,10365.5,10365.5,385864015
30-09-2008,10371.6,10868.9,10371.4,10850.7,319827199
01-10-2008,10847.4,10882.5,10632,10831.1,256585991
02-10-2008,10825.5,10825.5,10439.5,10482.8,395275613
03-10-2008,10484,10796.3,10310.2,10325.4,299660379
06-10-2008,10322.5,10322.8,9525.32,9955.5,391368498
07-10-2008,9955.42,10124,9436.67,9447.11,362615929
08-10-2008,9437.23,9628.07,9194.78,9258.1,479228430
09-10-2008,9261.69,9448.14,8579.19,8579.19,436753365
10-10-2008,8568.67,8901.28,7882.51,8451.19,674828183
13-10-2008,8462.42,9427.99,8462.18,9387.61,399216696
14-10-2008,9388.97,9794.37,9085.43,9310.99,412814167
15-10-2008,9301.91,9308.76,8530.12,8577.91,374301797
16-10-2008,8577.04,9013.27,8197.67,8979.26,422488437
17-10-2008,8975.35,9281.12,8718.25,8852.22,360546877
20-10-2008,8852.3,9266.63,8852.22,9265.43,241455104
